sample_id,t,rot_err_deg,error_type
sample_0047,4,0.0,relative
sample_0047,5,0.33045681462159576,relative
sample_0047,6,0.17915919785559745,relative
sample_0047,0,0.0,cumulative
sample_0047,1,0.12164717157165508,cumulative
sample_0047,2,0.3910614002126373,cumulative
sample_0047,3,0.5410717739863328,cumulative
sample_0047,4,0.5525245610795995,cumulative
sample_0047,5,0.6034887638969731,cumulative
sample_0047,6,0.6606250049093714,cumulative
sample_0048,1,1.9888690354443976,relative
sample_0048,2,0.6438836333027951,relative
sample_0048,3,0.9925917050335518,relative
sample_0048,4,0.7626549896788627,relative
sample_0048,5,0.9033600162003693,relative
sample_0048,6,0.0,relative
sample_0048,0,0.0,cumulative
sample_0048,1,1.9888690354443976,cumulative
sample_0048,2,2.6564179829303045,cumulative
sample_0048,3,1.764212316150678,cumulative
sample_0048,4,1.1611803484436336,cumulative
sample_0048,5,1.464405598302564,cumulative
sample_0048,6,0.9225764581410132,cumulative
sample_0049,1,0.22091447533614914,relative
sample_0049,2,0.261426341348566,relative
sample_0049,3,0.3520788724030528,relative
sample_0049,4,0.0,relative
sample_0049,5,0.0,relative
sample_0049,6,0.0,relative
sample_0049,0,0.0,cumulative
sample_0049,1,0.22091447533614914,cumulative
sample_0049,2,0.2724162694626263,cumulative
sample_0049,3,0.3868456636270631,cumulative
sample_0049,4,0.0,cumulative
sample_0049,5,0.0,cumulative
sample_0049,6,0.0,cumulative
